Rank,Game,Month,Year,Hours_watched,Avg_viewers,Avg_channels,Avg_viewer_ratio
154,Dofus,1,2019,479449,645,21,30.65
2,League of Legends,2,2019,94991296,141566,2651,53.39
6,Counter-Strike: Global Offensive,2,2019,47256109,70426,1110,63.44
7,Overwatch,2,2019,23707822,35332,1069,33.05
8,World of Warcraft,2,2019,21710870,32355,1012,31.96
10,Hearthstone,2,2019,13694403,20408,186,109.26
22,StarCraft II,2,2019,6175225,9203,90,101.15
116,Dofus,2,2019,552366,823,20,40.95
186,StarCraft,2,2019,251916,375,16,22.74
1,League of Legends,3,2019,108481064,146004,2646,55.18
7,Counter-Strike: Global Offensive,3,2019,35411834,47660,1229,38.75
8,Overwatch,3,2019,26607780,35811,1081,33.11
11,Hearthstone,3,2019,15989926,21520,177,120.92
12,World of Warcraft,3,2019,14566760,19605,959,20.44
24,StarCraft II,3,2019,5698747,7669,95,80.5
182,StarCraft,3,2019,313967,422,15,26.6
185,Dofus,3,2019,305677,411,17,23.29
2,League of Legends,4,2019,92428052,128550,2752,46.71
5,Hearthstone,4,2019,34381371,47818,272,175.77
6,Counter-Strike: Global Offensive,4,2019,30853367,42911,1176,36.49
8,Overwatch,4,2019,28601463,39779,1095,36.3
11,World of Warcraft,4,2019,17304829,24067,878,27.39
28,StarCraft II,4,2019,4724607,6571,95,69.02
110,StarCraft,4,2019,679319,944,17,55.01
194,Dofus,4,2019,275706,383,16,23.16
2,League of Legends,5,2019,102843574,138416,2853,48.51
6,World of Warcraft,5,2019,40716238,54799,959,57.08
7,Counter-Strike: Global Offensive,5,2019,29661382,39921,1157,34.49
8,Overwatch,5,2019,24738341,33295,1135,29.32
9,Hearthstone,5,2019,24588335,33093,232,142.37
28,StarCraft II,5,2019,4925622,6629,92,71.37
87,StarCraft,5,2019,905370,1218,17,69.41
182,Dofus,5,2019,338468,455,17,26.72
2,League of Legends,6,2019,89156672,124000,2757,44.97
6,World of Warcraft,6,2019,31345561,43596,901,48.39
7,Overwatch,6,2019,30730691,42740,1064,40.16
8,Counter-Strike: Global Offensive,6,2019,30260300,42086,1171,35.92
11,Hearthstone,6,2019,20975309,29172,181,161.09
28,StarCraft II,6,2019,4999481,6953,89,77.86
147,Dofus,6,2019,460614,640,19,32.92
149,StarCraft,6,2019,454194,631,15,40.14
3,League of Legends,7,2019,68210459,91804,2427,37.82
7,Counter-Strike: Global Offensive,7,2019,40700017,54777,1230,44.52
8,World of Warcraft,7,2019,36942422,49720,948,52.41
9,Overwatch,7,2019,29237452,39350,1081,36.38
14,Hearthstone,7,2019,11309165,15220,130,116.69
25,StarCraft II,7,2019,4634664,6237,84,74.19
64,StarCraft,7,2019,1111894,1496,20,72.48
117,Dofus,7,2019,521012,701,20,34.61
2,League of Legends,8,2019,86094493,115874,2661,43.53
4,World of Warcraft,8,2019,67894760,91379,2145,42.59
7,Counter-Strike: Global Offensive,8,2019,46112933,62063,1312,47.3
8,Overwatch,8,2019,35080281,47214,1208,39.06
12,Hearthstone,8,2019,21542434,28993,165,174.94
23,StarCraft II,8,2019,4903744,6599,86,76.34
99,Dofus,8,2019,665710,895,21,41.5
158,StarCraft,8,2019,370378,498,17,27.83
1,World of Warcraft,9,2019,89821179,124925,3148,39.67
2,League of Legends,9,2019,77579176,107898,2750,39.23
5,Counter-Strike: Global Offensive,9,2019,46007837,63988,1271,50.31
9,Overwatch,9,2019,21867082,30413,981,30.99
12,Hearthstone,9,2019,16646994,23152,137,168.18
34,StarCraft II,9,2019,3807372,5295,78,67.67
58,Dofus,9,2019,1531157,2129,29,72.64
78,StarCraft,9,2019,958092,1332,16,82.2
1,League of Legends,10,2019,125658644,169123,2967,57
4,Counter-Strike: Global Offensive,10,2019,44765681,60249,1255,48
6,World of Warcraft,10,2019,36044063,48511,1675,28.96
14,Hearthstone,10,2019,14077580,18946,129,146.11
16,Overwatch,10,2019,10882550,14646,917,15.96
26,StarCraft II,10,2019,4558486,6135,74,82.29
50,Dofus,10,2019,1932183,2600,38,68.23
98,StarCraft,10,2019,687269,924,15,58.18
1,League of Legends,11,2019,95436703,132735,2957,44.89
4,Counter-Strike: Global Offensive,11,2019,35606495,49522,1238,40
9,World of Warcraft,11,2019,26848994,37342,1320,28.27
10,Hearthstone,11,2019,26372825,36679,233,157.21
14,Overwatch,11,2019,16078956,22362,983,22.73
26,StarCraft II,11,2019,5159497,7175,76,93.84
90,StarCraft,11,2019,810988,1127,16,69.26
98,Dofus,11,2019,727419,1011,24,40.92
2,League of Legends,12,2019,78579242,105759,3098,34.13
4,Counter-Strike: Global Offensive,12,2019,40460483,54455,1316,41.37
7,Hearthstone,12,2019,26159827,35208,234,149.88
9,World of Warcraft,12,2019,20198621,27185,1102,24.66
15,Overwatch,12,2019,14056666,18918,972,19.45
34,StarCraft II,12,2019,3734058,5025,80,62.44
112,Dofus,12,2019,672096,904,22,39.95
199,StarCraft,12,2019,275977,371,16,22.18
1,League of Legends,1,2020,99657869,134129,3974,33.74
7,Counter-Strike: Global Offensive,1,2020,33893286,45616,1638,27.83
8,World of Warcraft,1,2020,27563181,37097,1266,29.3
10,Hearthstone,1,2020,21222953,28563,219,130.15
